,path,number,x,y
0,/data01/data/20170623h/00_111220/Image,13391,1080,1920
1,/data01/data/20170804/00_071045/Image,742,1080,1920
2,/data01/data/20170623/01_100114/Image,12398,1080,1920
3,/data01/data/20170627/01_101941/Image,17848,1080,1920
4,/data01/data/20170805/02_135730/Image,2590,1080,1920
5,/data01/data/20170701/00_131628/Image,453,1080,1920
6,/data01/data/20170710/00_181955/Image,1366,1080,1920
7,/data01/data/20170626/01_141920/Image,4033,1080,1920
8,/data01/data/20170626/00_110616/Image,11122,1080,1920
9,/data01/data/20170625/00_132140/Image,435,1080,1920
10,/data01/data/20170618110717,6825,1080,1920
11,/data01/data/20170625/01_193756/Image,514,1080,1920
12,/data01/data/20170805/03_140125/Image,1426,1080,1920
13,/data01/data/20170731/00_173246/Image,645,1080,1920
14,/data01/data/20170630/00_174351/Image,1323,1080,1920
15,/data01/data/20170804/04_150542/Image,916,1080,1920
16,/data01/data/20170617120237,6798,1080,1920
17,/data01/data/20170804/01_073557/Image,177,1080,1920
18,/data01/data/20170801/00_181230/Image,2005,1080,1920
19,/data01/data/20170803/00_184019/Image,582,1080,1920
20,/data01/data/20170623h/01_160434/Image,2,1080,1920
21,/data01/data/20170707/00_180541/Image,1637,1080,1920
22,/data01/data/20170804/02_145008/Image,2627,1080,1920
