<Location> second: 1480559243, nanosecond: 171986000, pose_x: 641004.907034015166573, pose_y: 3449731.598706719465554, zone: 40, heading: -1.222953077484276, covariance: 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 </Location>
<Lanemarking>
second: 1480559241, nanosecond: 660835000, sequence: 382
Id: 100, x: 37.079855, y: -1.775846, z: 0.000000
Id: 101, x: 37.479857, y: -1.774956, z: 0.000000
Id: 102, x: 37.879854, y: -1.774071, z: 0.000000
Id: 103, x: 38.279852, y: -1.773189, z: 0.000000
Id: 104, x: 38.679854, y: -1.772312, z: 0.000000
Id: 105, x: 39.079851, y: -1.771438, z: 0.000000
Id: 106, x: 39.479853, y: -1.770568, z: 0.000000
Id: 107, x: 39.879850, y: -1.769703, z: 0.000000
Id: 108, x: 40.279852, y: -1.768841, z: 0.000000
Id: 109, x: 40.679850, y: -1.767984, z: 0.000000
Id: 110, x: 41.079847, y: -1.767130, z: 0.000000
Id: 111, x: 41.479849, y: -1.766281, z: 0.000000
Id: 112, x: 41.879847, y: -1.765435, z: 0.000000
Id: 113, x: 42.279848, y: -1.764594, z: 0.000000
Id: 114, x: 42.679846, y: -1.763756, z: 0.000000
Id: 115, x: 43.079847, y: -1.762923, z: 0.000000
Id: 116, x: 43.479845, y: -1.762093, z: 0.000000
Id: 117, x: 43.879843, y: -1.761267, z: 0.000000
Id: 118, x: 44.279844, y: -1.760446, z: 0.000000
Id: 119, x: 44.679842, y: -1.759628, z: 0.000000
Id: 120, x: 45.079844, y: -1.758815, z: 0.000000
Id: 121, x: 45.479841, y: -1.758005, z: 0.000000
Id: 122, x: 45.879843, y: -1.757200, z: 0.000000
Id: 123, x: 46.279841, y: -1.756398, z: 0.000000
Id: 124, x: 46.679842, y: -1.755601, z: 0.000000
Id: 125, x: -2.920000, y: 1.715000, z: 0.000000
Id: 126, x: -2.520002, y: 1.716290, z: 0.000000
Id: 127, x: -2.120004, y: 1.717575, z: 0.000000
Id: 128, x: -1.720006, y: 1.718857, z: 0.000000
Id: 129, x: -1.320008, y: 1.720134, z: 0.000000
